Matrix,Matrix %,Size1,RNF1 %,Size2,RNF2%,stiring time,stir speed mixing,temperature,Tensile Strength,BHN
1.0,98.0,38.0,2.0,0.0,0.0,10.0,250.0,720.0,230.0,80.0
1.0,96.0,38.0,4.0,0.0,0.0,10.0,250.0,720.0,240.0,95.0
1.0,94.0,38.0,6.0,0.0,0.0,10.0,250.0,720.0,270.0,120.0
1.0,92.0,38.0,8.0,0.0,0.0,10.0,250.0,720.0,245.0,110.0
1.0,100.0,37.0,0.0,0.0,0.0,10.0,50.0,718.0,122.8,62.2
1.0,99.0,37.0,1.0,0.0,0.0,10.0,50.0,718.0,104.63,58.2
1.0,97.0,37.0,3.0,0.0,0.0,10.0,50.0,718.0,93.56,52.2
1.0,95.0,37.0,5.0,0.0,0.0,10.0,50.0,718.0,84.55,51.7
1.0,93.0,37.0,7.0,0.0,0.0,10.0,50.0,718.0,107.6,47.6
1.0,100.0,18.0,0.0,0.0,0.0,4.0,500.0,850.0,225.0,120.0
1.0,95.0,18.0,5.0,0.0,0.0,4.0,500.0,850.0,250.0,150.0
1.0,90.0,18.0,10.0,0.0,0.0,4.0,500.0,850.0,260.0,175.0
1.0,85.0,18.0,15.0,0.0,0.0,4.0,500.0,850.0,300.0,190.0
1.0,80.0,18.0,20.0,0.0,0.0,4.0,500.0,850.0,310.0,210.0
1.0,100.0,0.1,0.0,0.0,0.0,3.0,500.0,760.0,218.115,95.0
1.0,99.0,0.1,1.0,0.0,0.0,3.0,500.0,760.0,221.12,96.0
1.0,98.0,0.1,2.0,0.0,0.0,3.0,500.0,760.0,225.33,98.0
1.0,97.0,0.1,3.0,0.0,0.0,3.0,500.0,760.0,227.125,99.0
1.0,100.0,2.0,0.0,0.0,0.0,40.0,500.0,850.0,140.0,65.0
1.0,97.0,2.0,3.0,0.0,0.0,40.0,500.0,850.0,200.0,80.0
1.0,94.0,2.0,6.0,0.0,0.0,40.0,500.0,850.0,250.0,105.0
1.0,91.0,2.0,9.0,0.0,0.0,40.0,500.0,850.0,290.0,134.0
1.0,0.0,37.0,0.0,37.0,0.0,10.0,550.0,800.0,175.0,65.0
1.0,91.0,37.0,5.0,37.0,4.0,10.0,550.0,800.0,225.0,68.0
1.0,89.0,37.0,5.0,37.0,6.0,10.0,550.0,800.0,270.0,78.0
1.0,87.0,37.0,5.0,37.0,8.0,10.0,550.0,800.0,300.0,88.0
1.0,100.0,37.0,0.0,37.0,0.0,15.0,300.0,720.0,90.0,93.0
1.0,95.0,37.0,2.0,37.0,3.0,15.0,300.0,720.0,100.0,97.0
1.0,90.0,37.0,4.0,37.0,6.0,15.0,300.0,720.0,120.0,100.0
1.0,85.0,37.0,6.0,37.0,9.0,15.0,300.0,720.0,135.0,105.0
1.0,80.0,37.0,8.0,37.0,12.0,15.0,300.0,720.0,132.0,105.0
1.0,100.0,18.0,0.0,0.0,0.0,10.0,500.0,750.0,171.5,95.83483412322272
1.0,97.0,18.0,3.0,0.0,0.0,10.0,500.0,750.0,183.49,95.83483412322272
1.0,94.0,18.0,6.0,0.0,0.0,10.0,500.0,750.0,213.64,95.83483412322272
1.0,100.0,18.0,0.0,40.0,0.0,30.0,300.0,800.0,125.0,55.0
1.0,93.0,6.0,5.0,40.0,2.0,30.0,300.0,800.0,170.0,60.0
1.0,91.0,6.0,5.0,40.0,4.0,30.0,300.0,800.0,175.0,65.0
1.0,89.0,6.0,5.0,40.0,6.0,30.0,300.0,800.0,180.0,70.0
1.0,87.0,6.0,5.0,40.0,8.0,30.0,300.0,800.0,190.0,75.0
1.0,100.0,37.0,0.0,40.0,0.0,3.0,300.0,820.0,80.87,96.0
1.0,88.0,37.0,10.0,40.0,2.0,3.0,300.0,820.0,92.64,110.33
1.0,86.0,37.0,12.0,40.0,2.0,3.0,300.0,820.0,139.67,119.33
1.0,84.0,37.0,14.0,40.0,2.0,3.0,300.0,820.0,65.3,135.66
1.0,100.0,37.0,0.0,0.0,0.0,20.0,250.0,750.0,223.0,84.0
1.0,99.5,37.0,0.5,0.0,0.0,20.0,250.0,750.0,276.0,98.0
1.0,99.0,37.0,1.0,0.0,0.0,20.0,250.0,750.0,365.0,136.0
1.0,98.5,37.0,1.5,0.0,0.0,20.0,250.0,750.0,428.0,153.0
1.0,98.0,37.0,2.0,0.0,0.0,20.0,250.0,750.0,408.0,172.0
1.0,100.0,16.0,0.0,90.0,0.0,5.0,500.0,850.0,210.0,115.0
1.0,93.0,16.0,2.0,90.0,5.0,5.0,500.0,850.0,219.0,118.0
1.0,91.0,16.0,4.0,90.0,5.0,5.0,500.0,850.0,225.0,121.0
1.0,89.0,16.0,6.0,90.0,5.0,5.0,500.0,850.0,229.0,129.0
1.0,87.0,16.0,8.0,90.0,5.0,5.0,500.0,850.0,235.0,134.0
1.0,100.0,49.0,0.0,0.0,0.0,10.0,400.0,660.0,192.16,65.7
1.0,97.0,49.0,3.0,0.0,0.0,10.0,400.0,660.0,230.0,75.0
1.0,94.0,49.0,6.0,0.0,0.0,10.0,400.0,660.0,340.0,85.0
1.0,91.0,49.0,9.0,0.0,0.0,10.0,400.0,660.0,361.16,108.75
1.0,95.0,30.0,3.0,60.0,2.0,5.0,250.0,800.0,268.0,139.0
1.0,90.0,30.0,8.0,60.0,2.0,5.0,250.0,800.0,280.0,146.0
1.0,90.0,30.0,5.0,60.0,5.0,5.0,250.0,800.0,273.0,142.0
1.0,100.0,75.0,0.0,90.0,0.0,15.0,500.0,850.0,133.9,89.0
1.0,96.0,75.0,3.0,90.0,1.0,16.0,500.0,851.0,233.09,95.0
1.0,93.0,75.0,6.0,90.0,1.0,17.0,500.0,852.0,259.18,108.0
1.0,90.0,75.0,9.0,90.0,1.0,18.0,500.0,853.0,253.64,106.0
1.0,100.0,38.0,0.0,75.0,0.0,10.0,500.0,720.0,572.0,150.67
1.0,95.0,38.0,5.0,75.0,0.0,10.0,500.0,720.0,586.6,178.33
1.0,95.0,38.0,0.0,75.0,5.0,10.0,500.0,720.0,584.1,172.67
1.0,95.0,38.0,2.5,75.0,2.5,10.0,500.0,720.0,581.9,174.33
1.0,90.0,38.0,10.0,75.0,0.0,10.0,500.0,720.0,592.8,183.67
1.0,90.0,38.0,0.0,75.0,10.0,10.0,500.0,720.0,587.3,176.67
1.0,90.0,38.0,2.5,75.0,7.5,10.0,500.0,720.0,588.6,177.0
1.0,90.0,38.0,5.0,75.0,5.0,10.0,500.0,720.0,299.2,184.97
1.0,90.0,38.0,7.5,75.0,2.5,10.0,500.0,720.0,601.9,183.33
1.0,95.0,30.0,5.0,0.0,0.0,10.0,125.0,800.0,126.0,42.0
1.0,93.0,30.0,7.0,0.0,0.0,10.0,125.0,800.0,139.0,48.0
1.0,90.0,30.0,10.0,0.0,0.0,10.0,125.0,800.0,146.0,52.0
1.0,100.0,0.5,0.0,0.0,0.0,10.0,600.0,790.0,150.0,111.0
1.0,97.0,0.5,3.0,0.0,0.0,10.0,600.0,790.0,170.0,124.0
1.0,94.0,0.5,6.0,0.0,0.0,10.0,600.0,790.0,188.0,135.0
1.0,91.0,0.5,9.0,0.0,0.0,10.0,600.0,790.0,200.0,158.0
1.0,88.0,0.5,12.0,0.0,0.0,10.0,600.0,790.0,210.0,161.0
1.0,100.0,40.0,0.0,0.0,0.0,15.0,400.0,600.0,170.0,138.0
1.0,97.0,40.0,3.0,0.0,0.0,15.0,400.0,600.0,185.0,142.0
1.0,96.0,40.0,4.0,0.0,0.0,15.0,400.0,600.0,225.0,150.0
1.0,95.0,40.0,5.0,0.0,0.0,15.0,400.0,600.0,220.0,154.0
1.0,94.0,40.0,6.0,0.0,0.0,15.0,400.0,600.0,240.0,158.0
1.0,93.0,40.0,7.0,0.0,0.0,15.0,400.0,600.0,248.0,165.0
1.0,95.0,9.0,5.0,0.0,0.0,5.0,500.0,720.0,212.0,95.83483412322272
1.0,90.0,10.0,10.0,0.0,0.0,5.0,500.0,720.0,176.0,95.83483412322272
1.0,85.0,11.0,15.0,0.0,0.0,5.0,500.0,720.0,198.0,95.83483412322272
1.0,95.0,10.0,5.0,0.0,0.0,7.0,500.0,720.0,205.0,95.83483412322272
1.0,90.0,10.0,10.0,0.0,0.0,7.0,500.0,720.0,184.0,95.83483412322272
1.0,85.0,11.0,15.0,0.0,0.0,7.0,500.0,720.0,201.0,95.83483412322272
1.0,95.0,11.0,5.0,0.0,0.0,9.0,500.0,720.0,214.0,95.83483412322272
1.0,90.0,9.0,10.0,0.0,0.0,9.0,500.0,720.0,186.0,95.83483412322272
1.0,85.0,10.0,15.0,0.0,0.0,9.0,500.0,720.0,216.0,95.83483412322272
1.0,100.0,165.0,0.0,0.0,0.0,15.0,300.0,750.0,65.475,119.0
1.0,90.0,165.0,5.0,190.0,5.0,15.0,300.0,750.0,247.21,175.0
1.0,90.0,165.0,5.0,105.0,5.0,15.0,300.0,750.0,198.715,118.0
1.0,90.0,165.0,5.0,65.0,5.0,15.0,300.0,750.0,137.355,133.0
1.0,90.0,25.0,7.0,0.0,3.0,8.0,500.0,800.0,47.65,95.83483412322272
1.0,90.0,25.0,9.0,0.0,1.0,8.0,500.0,800.0,53.12,95.83483412322272
1.0,90.0,25.0,5.0,0.0,5.0,8.0,500.0,800.0,55.76,95.83483412322272
1.0,90.0,25.0,1.0,0.0,9.0,8.0,500.0,800.0,58.96,95.83483412322272
1.0,90.0,25.0,3.0,0.0,7.0,8.0,500.0,800.0,48.35,95.83483412322272
1.0,100.0,36.0,0.0,0.2,0.0,10.0,200.0,800.0,225.59,125.0
1.0,89.0,36.0,10.0,0.2,1.0,10.0,200.0,800.0,258.32,149.0
1.0,84.0,36.0,15.0,0.2,1.0,10.0,200.0,800.0,266.62,204.0
1.0,83.0,36.0,16.0,0.2,1.0,10.0,200.0,800.0,256.31,168.0
1.0,100.0,1.0,0.0,10.0,0.0,20.0,600.0,950.0,220.0,60.0
1.0,94.0,1.0,3.0,10.0,3.0,20.0,600.0,950.0,250.0,80.0
1.0,91.0,1.0,6.0,10.0,3.0,20.0,600.0,950.0,275.0,90.0
1.0,88.0,1.0,9.0,10.0,3.0,20.0,600.0,950.0,300.0,110.0
1.0,97.0,53.0,1.5,80.0,1.5,10.0,600.0,700.0,230.78,190.31
1.0,94.0,53.0,3.0,80.0,3.0,10.0,600.0,700.0,241.81,231.75
1.0,91.0,53.0,4.5,80.0,4.5,10.0,600.0,700.0,253.05,274.31
1.0,97.0,37.0,1.5,80.0,1.5,10.0,600.0,700.0,222.18,165.56
1.0,94.0,37.0,3.0,80.0,3.0,10.0,600.0,700.0,224.34,181.53
1.0,91.0,37.0,4.5,80.0,4.5,10.0,600.0,700.0,226.46,207.29
1.0,100.0,0.05,0.0,0.05,0.0,15.0,600.0,700.0,262.0,90.5
1.0,96.0,0.05,1.0,0.05,3.0,15.0,600.0,700.0,274.0,110.0
1.0,95.0,0.05,2.0,0.05,3.0,15.0,600.0,700.0,285.0,125.0
1.0,94.0,0.05,3.0,0.05,3.0,15.0,600.0,700.0,294.0,134.0
1.0,93.0,0.05,4.0,0.05,3.0,15.0,600.0,700.0,300.0,139.0
2.0,100.0,10.0,0.0,50.0,0.0,10.0,350.0,750.0,175.43,79.7
2.0,85.0,10.0,10.0,50.0,5.0,10.0,350.0,750.0,184.57,81.9
2.0,100.0,50.0,0.0,0.0,0.0,10.0,500.0,500.0,153.9,51.41
2.0,99.0,50.0,1.0,0.0,0.0,10.0,500.0,500.0,173.8,44.48
2.0,98.0,50.0,2.0,0.0,0.0,10.0,500.0,500.0,181.2,40.64
2.0,97.0,50.0,3.0,0.0,0.0,10.0,500.0,500.0,182.1,39.98
2.0,96.0,50.0,4.0,0.0,0.0,10.0,500.0,500.0,191.65,37.38
2.0,100.0,30.0,0.0,0.0,0.0,10.0,500.0,720.0,138.0,70.0
2.0,97.0,30.0,3.0,0.0,0.0,10.0,500.0,720.0,155.0,90.0
2.0,94.0,30.0,6.0,0.0,0.0,10.0,500.0,720.0,160.0,100.0
2.0,100.0,0.05,0.0,0.0,0.0,10.0,700.0,750.0,90.0,84.0
2.0,97.0,0.05,3.0,0.0,0.0,10.0,700.0,750.0,90.0,100.0
2.0,94.0,0.05,6.0,0.0,0.0,10.0,700.0,750.0,90.0,108.0
